name,ik,standortnummer,anzahl_standorte,strasse,hausnummer,plz,ort,telefon,email,betten,vollstationaere_fallzahl,teilstationaere_fallzahl,ambulante_fallzahl,staeb_fallzahl,traeger_name,traeger_art,lehrkrankenhaus,universitaet,notfallstufe,notdienst,notdienstpraxis,hat_bg_zulassung,hat_darzt,hat_dialyse,hat_onkologie,hat_radiologie,hat_intensivmedizin,hat_notaufnahme,hat_psychiatrie,hat_geriatrie,anzahl_fachabteilungen,fachabteilungen,fachabteilung_schluessel,apparative_ausstattung,url_zugang,url_internetseite,url_weitere_infos
Katholisches Krankenhaus Hagen gem. GmbH,260591960,773279000,4,Dreieckstraße 17,17,58097,Hagen,+492331-805-1,info@kkh-hagen.de,227,12300,0,41098,0,Katholisches Krankenhaus Hagen gem. GmbH,freigemeinnützig,Ja,"Ruhr-Universität Bochum, Universität Witten-Herdecke",,nein,nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,11,"Geriatrie; Hämatologie und Internistische Onkologie; Allgemeine und Viszeralchirurgie; Gefäßchirurgie; Plastische, Ästhetische und Handchirurgie; Hals-, Nasen- und Ohrenheilkunde; Augenheilkunde; Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie; Anästhesie und Intensivmedizin; Angiologie; Diagnostische und interventionelle Radiologie",,AA57; AA01; AA14; AA08; AA43; AA22,http://www.kkh-hagen.de,http://www.kkh-hagen.de,
Katholisches Krankenhaus Hagen gem. GmbH,260591960,773280000,4,Dreieckstraße,17,58097,Hagen,+492334-984-0,info@kkh-hagen.de,183,2978,1,5280,0,Katholisches Krankenhaus Hagen gem. GmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Suchtklinik; Allgemeine Psychiatrie,,,http://www.kkh-hagen.de,http://www.kkh-hagen.de,
Katholisches Krankenhaus Hagen gem. GmbH,260591960,773506000,4,Dreickstraße,17,58097,Hagen,+492331-805-300,info@kkh-hagen.de,17,0,135,0,0,Katholisches Krankenhaus Hagen gem. GmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,,http://www.kkh-hagen.de,http://www.kkh-hagen.de,
Katholisches Krankenhaus Hagen gem. GmbH,260591960,773878000,4,Dreickstraße,17,58097,Hagen,+492331-805-300,info@kkh-hagen.de,29,104,52,0,0,Katholisches Krankenhaus Hagen gem. GmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Psychosomatik/Psychotherapie; Psychosomatik/Psychotherapie/Tagesklinik(für teilstationäre Pflegesätze),,,http://www.kkh-hagen.de,http://www.kkh-hagen.de,
St. Barbara-Klinik Hamm GmbH,260592084,,1,Am Heessener Wald,1,59073,Hamm,+492381-681-0,info@barbaraklinik.de,448,20230,125,55017,0,St. Franziskus-Stiftung Münster (www.st-franziskus-stiftung.de),freigemeinnützig,Ja,Universität Münster,,nein,ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,17,"Klinik für Allgemein- und Visceralchirurgie, Koloproktologie; Klinik für Unfallchirurgie und Orthopädie, Sektion Handchirurgie; Klinik für Neurochirurgie; Klinik für Stereotaktische Neurochirurgie; Klinik für Gynäkologie und Geburtshilfe, Brustzentrum Hamm; Klinik für Urologie, Kinderurologie und Uro-Gynäkologie; Klinik für Anästhesiologie, Intensiv-, Notfall- und Schmerzmedizin; Klinik für Innere Medizin I – Kardiologie, Intensivmedizin, allg. Innere, Diabetologie, Hochdrucklabor; Klinik für Innere Medizin II – Gastroenterologie und Hepatologie; Klinik für Innere Medizin III – Nephrologie, Angiologie; Klinik für Innere Medizin IV - Hämatologie und Onkologie, Palliativmedizin; Klinik für Innere Medizin V – Pneumologie, Infektiologie; Klinik für Radiologie und Neuroradiologie; Institut für Laboratoriumsmedizin und Transfusionsmedizin; Abteilung für Augenheilkunde; Abteilung für HNO-Heilkunde, Kopf- und Halschirurgie; zentrale Notaufnahme",,AA69; AA08; AA43; AA10; AA14; AA32; AA18; AA50; AA70; AA23; AA22; AA33; AA01; AA57,http://www.barbaraklinik.de,https://www.barbaraklinik.de,
VAMED Klinik Hagen Ambrock,260592164,,1,Ambrocker Weg,60,58091,Hagen,+492331-9740,info.klinik-ambrock@helios-kliniken.de,80,1965,0,0,0,VAMED Klinik Hagen-Ambrock GmbH; Sitz Hagen,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Lungen- und Bronchialheilkunde,,AA08; AA10; AA14; AA43,https://www.vamed-gesundheit.de/kliniken/hagen-ambrock/unser-angebot/unser-fachbereich-pneumologie/,https://www.vamed-gesundheit.de/kliniken/hagen-ambrock/unser-angebot/unser-fachbereich-pneumologie/,https://www.vamed-gesundheit.de/kliniken/hagen-ambrock/unser-angebot/unsere-standards/qualitaetsbericht/
VAMED Klinik Bad Berleburg GmbH,260592277,,1,An der Gontardslust,7,57319,Bad Berleburg,+492751-8020,info.badberleburg@vamed-gesundheit.de,127,6529,0,12465,0,VAMED Klinik Bad Berleburg GmbH,privat,Ja,Philipps Universität Marburg,,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,7,Innere Medizin; Allgemein- und Viszeralchirurgie; Unfallchirurgie; Frauenheilkunde und Geburtshilfe; Intensivmedizin; Anästhesie; VAMED Schmerztherapie,,AA69; AA22; AA08; AA23; AA01; AA14; AA33; AA38; AA10; AA32,https://www.vamed-gesundheit.de/kliniken/bad-berleburg/,https://www.vamed-gesundheit.de/kliniken/bad-berleburg/,https://www.vamed-gesundheit.de/kliniken/bad-berleburg/angebot/unsere-standards/iqm-zahlen/
Marienkrankenhaus gGmbH (ab 08/2025: Christliches Klinikum Soest Mitte gGmbH),260593018,,1,Widumgasse,5,59494,Soest,+492921-391-0,info.soest@hospitalverbund.de,294,12844,0,23123,0,Katholischer Hospitalverbund Hellweg gGmbH,freigemeinnützig,Ja,Universität Münster,,nein,nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,11,"Allgemeine Innere Medizin / Kardiologie; Pneumologie, Allergologie, Schlafmedizin und Internistische Onkologie; Gastroenterologie und Hepatologie; Diabetologie; Allgemein- und Viszeralchirurgie; Zentrum für Orthopädie und Unfallchirurgie Kreis Soest; Thoraxchirurgie; Gefäß- und endovaskuläre Chirurgie, Phlebologie; Hals-, Nasen-, Ohrenheilkunde (Belegabteilung); Anästhesiologie, Intensivmedizin, Schmerztherapie und Palliativmedizin; Plastische, Ästhetische, Hand- & Wiederherstellungschirurgie",,AA18; AA01; AA15; AA08; AA10; AA14; AA22; AA30; AA32; AA43; AA57; AA23; AA69; AA71,https://www.christliches-klinikum-soest.de/,https://www.christliches-klinikum-soest.de/,https://www.hospitalverbund.de/
Katholische Kliniken im Märkischen Kreis,260593030,773277000,2,Hochstraße,63,58638,Iserlohn,+492371-78-0,info@kkimk.de,366,17388,0,26590,0,Kath. Kliniken im Märkischen Kreis gem. GmbH,freigemeinnützig,Ja,Ruhr-Universität Bochum,,ja,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,6,"Allgemeine Chirurgie, Orthopädie u. Unfallchirurgie; Innere Medizin; Anästhesie; Urologie und Kinderurologie; Frauenheilkunde und Geburtshilfe; Geburtshilfe",,AA69; AA38; AA14; AA21; AA08; AA22; AA57; AA23; AA18; AA47; AA15; AA71; AA50; AA01; AA32; AA33,http://www.kkimk.de,http://www.kkimk.de,
Katholische Kliniken im Märkischen Kreis,260593030,773278000,2,Am Stein,24,58706,Menden,+492373-168-0,info@kkimk.de,195,9788,0,16975,0,Kath. Kliniken im Märkischen Kreis gem. GmbH,freigemeinnützig,Ja,Ruhr Universität Bochum,,nein,nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,4,Innere Medizin; Unfallchirurgie/ Orthopädie; Anästhesie/Intensivmedizin; Allgemeine Chirurgie,,AA57; AA10; AA14; AA50; AA08; AA22; AA43,https://www.kkimk.de,https://www.kkimk.de,
Ev. Krankenhaus Hagen-Haspe,260593041,,1,Brusebrinkstraße,20,58135,Hagen,+492331-476-1,info@evk-haspe.de,265,13191,131,28542,0,Evangelisches Krankenhaus Hagen-Haspe gem. GmbH (Tochtergesellschaft der Evangelischen Stiftung Volmarstein),freigemeinnützig,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,9,Klinik für Kardiologie und Rhythmologie; Klinik für Allgemeine Innere Medizin und Gastroenterologie; Klinik für Orthopädie und Unfallchirurgie (Chirurgische Klinik A); Klinik für Allgemein- und Viszeralchirurgie (Chirurgische Klinik B); Frauenklinik - Frauenheilkunde; Rheumaklinik; Klinik für Anästhesie und Intensivmedizin; Funktionsabteilung für Psychosomatik; Inklusive Medizin,,AA57; AA32; AA43; AA14; AA18; AA50; AA23; AA26; AA33; AA01; AA08; AA69; AA09; AA68; AA22,http://www.evk-haspe.de,http://www.evk-haspe.de,http://www.esv.de
Diakonie Klinikum GmbH,260593085,771580000,2,Wichernstraße,40,57074,Siegen,+49271-3333,diakonie-klinikum@diakonie-sw.de,483,22867,0,36640,0,Diakonie in Südwestfalen gGmbH,freigemeinnützig,Ja,Akademisches Lehrkrankenhaus der Rheinischen Friedrich-Wilhelms-Universität Bonn,,nein,nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Ja,20,"Innere Medizin allgemein; Medizinische Klinik I; Geriatrie und neurologische Geriatrie; Medizinische Klinik II, Kardiologie; Medizinische Klinik III, Hämatologie und internistische Onkologie; Gastroenterologie, Medizinische Klinik I; Allgemein- und Viszeralchirurgie, Endokrine Chirurgie; Unfallchirurgie; Neurochirurgie; Gefäßchirurgie; Urologie, robotische Urologie; Frauenheilkunde; Geburtshilfe, angeschlossen Perinatalzentrum Level I; Hals-, Nasen-, Ohrenheilkunde; Mund-, Kiefer- und Gesichtschirurgie; Palliativmedizin; Medizinische Klinik III; Anästhesiologie, Intensiv- und Notfallmedizin; Radiologisches Zentrum; Zentrale Notaufnahme; Plastische, ästhetische und rekontruktive Chirurgie; Neuroradiologie",,AA38; AA01; AA08; AA21; AA10; AA43; AA68; AA26; AA30; AA57; AA14; AA69; AA71; AA47; AA72; AA50; AA70; AA22; AA23; AA32; AA33,http://www.diakonie-klinikum.com,http://www.diakonie-klinikum.com,
Diakonie Klinikum GmbH,260593085,771581000,2,Wichernstraße,40,57074,Siegen,+49271-3334400,info@diakonie-sw.de,168,6390,0,13287,0,Diakonie in Südwestfalen gGmbH,freigemeinnützig,Ja,Rheinische Friedrich-Wilhelms-Universität Bonn,,nein,nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,6,"Innere Medizin; Allgemeine Chirurgie (Unfallchirurgie, spezielle Unfallchirurgie, Orthopädie, plastische Chirurgie); Hals-, Nasen-, Ohrenheilkunde; Dermatologie; Anästhesie / Intensivmedizin; Radiologisches Zentrum",,AA08,http://www.diakonie-sw.de/krankenhaeuser/,https://www.diakonie-klinikum.com,
St.-Johannes-Hospital Dortmund,260593096,,1,Johannesstraße,9-13,44137,Dortmund,+49231-1843-0,info@joho-dortmund.de,579,28653,211,99508,0,SJG St. Paulus GmbH,freigemeinnützig,Ja,Westfälische Wilhelms-Universität Münster,,nein,ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,13,"Klinik für Anästhesiologie und operative Intensivmedizin; Klinik für Augenheilkunde; Klinik für Chirurgie; Klinik für Gynäkologie und Geburtshilfe; Klinik für Hals-, Nasen-, Ohrenheilkunde; Klinik für Herz-, Thorax- und Gefäßchirurgie - Herzchirurgie; Klinik für Herz-, Thorax- und Gefäßchirurgie - Gefäßchirurgie; Klinik für Innere Medizin I - Kardiologie, Nephrologie, Intensivmedizin, Rhythmologie; Klinik für Innere Medizin II - Allg. Innere Medizin, Hämatologie, Onkologie, Blutstammzelltransplantation, Gastroenterologie, Palliativmedizin; Institut für Diagnostische und Interventionelle Radiologie; Institut für Labormedizin, Mikrobiologie und Transfusionsmedizin; Ambulantes Operationszentrum am St.-Johannes-Hospital; Zentral-Apotheke",,AA01; AA38; AA08; AA10; AA15; AA14; AA18; AA47; AA50; AA22; AA23; AA57; AA32; AA33; AA69; AA71; AA72,http://www.joho-dortmund.de,http://www.joho-dortmund.de,http://www.st-johannes.de
St.-Elisabeth-Krankenhaus,260593109,,1,Kurler Str.,130,44319,Dortmund,+49231-2892-0,info@elisabeth-dortmund.de,105,1502,189,134,0,SJG St. Paulus GmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,1,Geriatrie,,AA01; AA69; AA08; AA22; AA14; AA10,http://www.elisabeth-dortmund.de,http://www.elisabeth-dortmund.de,http://www.st-johannes.de
Marien Hospital,260593110,,1,Gablonzstr.,9,44225,Dortmund,+49231-7750-0,info@marien-hospital-dortmund.de,186,1636,263,18457,0,SJG St. Paulus GmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Klinik für Psychiatrie und Psychotherapie; Klinik für Psychiatrie und Psychotherapie/ Tagesklinik (teilstationär),,AA10; AA01; AA08; AA14; AA69; AA22; AA15,http://www.marien-hospital-dortmund.de,http://www.marien-hospital-dortmund.de,http://www.st-johannes.de
LWL-Klinik Dortmund Elisabeth-Klinik,260593450,772303000,1,Marsbruchstraße,162a,44287,Dortmund,+49231-913019-0,kjp-dortmund@lwl.org,35,452,93,2776,0,Landschaftsverband Westfalen Lippe (LWL),öffentlich,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Kinder- und Jugendpsychiatrie – Psychotherapie – Psychosomatik,,AA10,http://lwl-jugendpsychiatrie-dortmund.de/,http://lwl-jugendpsychiatrie-dortmund.de,
Alexianer Klinikum Hochsauerland GmbH | Standort St. Walburga - Krankenhaus Meschede,260593600,772596000,3,Schederweg,12,59872,Meschede,+49291-2020,info@klinikum-hochsauerland.de,227,10273,0,13779,0,Alexianer Klinikum Hochsauerland GmbH,freigemeinnützig,Ja,Westfälische Universität Münster,,nein,nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,8,"Klinik für Innere Medizin - Kardiologie; Klinik für Innere Medizin- Gastroenterologie; Klinik für Innere Medizin - Nephrologie; Palliativmedizin; Klinik für Hämatologie, Onkologie, Palliativmedizin und Stammzelltransplantation; Klinik für Allgemein-, Viszeralchirurgie und Koloproktologie; Klinik für Unfallchirurgie und Orthopädie; Belegabteilung für Hals-, Nasen-, Ohrenheilkunde",,AA22; AA14; AA15; AA08; AA18; AA69; AA72,https://klinikum-hochsauerland.de/das-klinikum/standorte/st-walburga-krankenhaus,https://www.klinikum-hochsauerland.de/klinikum-hochsauerland/standorte/st-walburga-krankenhaus/,https://klinikum-hochsauerland.de/das-klinikum/qualitaet-sicherheit/qualitaetsberichte
Alexianer Klinikum Hochsauerland | Standort Karolinen-Hospital Hüsten,260593600,772597000,3,Stolte Ley,5,59759,Arnsberg,+492932-9520,info@klinikum-hochsauerland.de,458,24870,0,46393,0,Alexianer Klinikum Hochsauerland GmbH,freigemeinnützig,Ja,Westfälische Universität Münster,,nein,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,14,"Klinik für Innere Medizin & Gastroenterologie; Klinik für Kardiologie; Klinik für Gefäßchirurgie; Klinik für Neurochirurgie; Klinik für Gynäkologie; Klinik für Neurologie; Klinik für Unfallchirurgie; Klinik für Geburtshilfe; Klinik für Angiologie; Klinik für Orthopädie; Klinik für Urologie; Klinik für Allgemein-, Viszeral- und Minimalinvasive Chirurgie; Klinik für Kinder- und Jugendmedizin (Pädiatrie); Innere Medizin/Schwerpunkt Infektionskrankheiten",,AA38; AA22; AA47; AA01; AA14; AA10; AA69; AA23; AA70; AA08,https://klinikum-hochsauerland.de/das-klinikum/standorte/karolinen-hospital,https://klinikum-hochsauerland.de/das-klinikum/standorte/karolinen-hospital,https://klinikum-hochsauerland.de/das-klinikum/qualitaet-sicherheit/qualitaetsberichte
Alexianer Klinikum Hochsauerland | Standort St. Johannes-Hospital Neheim,260593600,772598000,3,Springufer,7,59755,Arnsberg,+492932-9800,info@klinikum-hochsauerland.de,219,3532,213,47,0,Alexianer Klinikum Hochsauerland GmbH,freigemeinnützig,Ja,Westfälische Universität Münster,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,5,"Klinik für Innere Medizin, Schwerpunkt Diabetologie, Rheumatologie & Endokrinologie; Klinik für Geriatrie; Geriatrie/Tagesklinik (für teilstationäre Pflegesätze); Klinik für Psychiatrie, Psychotherapie und Psychosomatik; Psychiatrische Tagesklinik",,AA10; AA22; AA08; AA01,https://klinikum-hochsauerland.de/das-klinikum/standorte/st-johannes-hospital,https://klinikum-hochsauerland.de/das-klinikum/standorte/st-johannes-hospital,https://klinikum-hochsauerland.de/das-klinikum/qualitaet-sicherheit/qualitaetsberichte
Psychosomatische Akut-Klinik Kassel-Bad Wilhelmshöhe Werner Wicker GmbH & Co. KG,260600051,,1,Wigandstrasse,3-5,34131,Kassel,+49561-929960,info@psychosomatische-akut-klinik.de,47,396,25,0,0,Werner Wicker GmbH & Co. KG,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Psychosomatische Medizin und Psychotherapie,,,https://www.psychosomatische-akut-klinik.de,https://www.psychosomatische-akut-klinik.de,https://www.wicker.de
Migräne-und Kopfschmerzklinik Königstein,260600073,,1,Ölmühlweg,31,61462,Königstein im Taunus,+496174-29040,info@migraene-klinik.de,20,439,0,49,0,Migräne-und Kopfschmerzklinik Königstein,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Migräneklinik,,,http://www.migraene-klinik.de,http://www.migraene-klinik.de,
Vitos Klinikum Weil-Lahn,260600244,772640000,2,Mönchberg,8,65589,Hadamar,+496433-9170,info@vitos-weil-lahn.de,120,1654,78,4953,0,Vitos Weil-Lahn gemeinnützige GmbH,öffentlich,Ja,Justus-Liebig-Universität Gießen,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Vitos Klinik für Psychiatrie und Psychotherapie Hadamar,,AA10,https://www.vitos.de/gesellschaften/vitos-weil-lahn,https://www.vitos.de/gesellschaften/vitos-weil-lahn/einrichtungen/vitos-klinik-fuer-psychiatrie-und-psychotherapie-hadamar-1/,
Vitos Klinikum Weil-Lahn,260600244,772808000,2,Weilstraße,10,35789,Weilmünster,+496472-600,info@vitos-weil-lahn.de,110,3116,0,148,0,Vitos Weil-Lahn gemeinnützige GmbH,öffentlich,Ja,Justus-Liebig-Universität Gießen,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Vitos Klinik für Neurologie Weilmünster,,AA08; AA22; AA10; AA43; AA14,https://www.vitos.de/gesellschaften/vitos-weil-lahn,https://www.vitos.de/gesellschaften/vitos-weil-lahn,
Heilig-Geist Hospital GmbH & Co. KG,260600255,,1,Rodensteinstraße,94,64625,Bensheim,+496251-132-0,info-hgh@artemed.de,134,8659,0,18557,0,Artemed SE,privat,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,7,"Innere Medizin; Allgemeine Chirurgie (HA); Allgemeine Chirurgie (BA); Frauenheilkunde (HA); Frauenheilkunde (BA); Hals-, Nasen-, Ohrenheilkunde; Urologie",,AA08; AA33; AA14; AA72,http://www.hgh-bensheim.de,http://www.hgh-bensheim.de,http://www.hgh-bensheim.de
St. Marien Krankenhaus Lampertheim GmbH,260600266,,1,Neue Schulstraße,12,68623,Lampertheim,+496206-509-0,info@stmarienkrankenhaus.de,96,2685,353,366,0,St. Marien Krankenhaus Lampertheim GmbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,2,Innere Medizin; Geriatrie,,AA08; AA23; AA14,http://www.stmarienkrankenhaus.de,http://www.stmarienkrankenhaus.de,
Klinikum Darmstadt GmbH,260610019,,2,Grafenstraße,9,64283,Darmstadt,+496151-107-0,info@mail.klinikum-darmstadt.de,841,37138,327,78851,0,Wissenschaftsstadt Darmstadt,öffentlich,Ja,"Johann-Wolfgang-Goethe-Universität Frankfurt am Main, Ruprecht-Karl-Universität Heidelberg, Fakultät für Klinische Medizin Mannheim, Hochschule für Oekonomie & Management Frankfurt am Main",,ja,ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,19,"Augenklinik; Chirurgische Klinik I - Allgemein-, Viszeral- und Thoraxchirurgie; Chirurgische Klinik II - Orthopädie, Unfall- und Handchirurgie; Frauenklinik; Hautklinik; Institut für Radiologie, Neuroradiologie und Nuklearmedizin; Institut für Radioonkologie und Strahlentherapie; Klinik für Anästhesiologie und operative Intensivmedizin; ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​Klinik für Gefäßmedizin, Gefäßchirurgie und Endovaskuläre Chirurgie; Klinik für HNO-Heilkunde, Kopf-, Hals und plastische Gesichtschirurgie; Klinik für Mund-, Kiefer- und Gesichtschirurgie; Klinik für Neurochirurgie; Klinik für Neurologie und Neurointensivmedizin; Medizinische Klinik I - Kardiologie und internistische Intensivmedizin; Medizinische Klinik II - Gastroenterologie, Hepatopankreatologie, Endokrinologie und Pneumologie; Medizinische Klinik III - Nieren-, Hochdruck- und Rheumaerkrankungen; Medizinische Klinik V - Hämatologie, Onkologie und Palliativmedizin; MVZ für Klinische Pathologie; Urologische Klinik",,AA38; AA15; AA70; AA43; AA30; AA26; AA10; AA71; AA14; AA32; AA33; AA47; AA50; AA21; AA08; AA01; AA22; AA23,https://klinikum-darmstadt.de,https://klinikum-darmstadt.de,https://klinikum-darmstadt.de
Klinikum Darmstadt GmbH,260610019,773793000,2,Grafenstraße,9,64283,Darmstadt,+496151-107-0,info@mail.klinikum-darmstadt.de,20,140,206,317,0,Wissenschaftsstadt Darmstadt,öffentlich,Ja,"Johann-Wolfgang-Goethe-Universität Frankfurt am Main, Ruprecht-Karl- Universität Heidelberg, Fakultät für Klinische Medizin Mannheim, Hochschule für Oekonomie & Management Frankfurt am Main",,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Klinik für Psychosomatische Medizin und Psychotherapie,,,https://klinikum-darmstadt.de/,https://klinikum-darmstadt.de,https://klinikum-darmstadt.de
Alice-Hospital,260610031,,1,Dieburger Straße,31,64287,Darmstadt,+496151-402-0,info@alice-hospital.de,146,11999,0,0,0,Stiftung Alice-Hospital vom Roten Kreuz zu Darmstadt,freigemeinnützig,Nein,,,nein,nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,7,Innere Medizin; Kardiologie; Allgemeine Chirurgie; Urologie; Frauenheilkunde und Geburtshilfe; HNO-Heilkunde; Innere Medizin/Schwerpunkt Pneumologie,,AA33; AA01; AA23; AA08; AA22; AA38; AA47; AA32; AA69,http://www.alice-hospital.de,https://www.alice-hospital.de,https://www.alice-hospital.de
Klinikum Frankfurt Höchst GmbH,260610075,,1,Gotenstraße 6-8,6-8,65929,Frankfurt am Main,+4969-3106-0,info-frankfurt@varisano.de,828,34003,1069,145976,1340,Stadt Frankfurt am Main,öffentlich,Ja,Johann Wolfgang Goethe-Universität Frankfurt am Main,,ja,ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,26,"Klinik für Allgemein-, Viszeral-, Gefäß- und Thoraxchirurgie; Klinik für Altersmedizin; Klinik für Anästhesiologie, operative Intensivmedizin, Notfallmedizin und Schmerztherapie; Klinik für Augenheilkunde; Geriatrische Tagesklinik; Klinik für Gynäkologie und Geburtshilfe - Geburtshilfe; Klinik für Gynäkologie und Geburtshilfe - Gynäkologie; Klinik für Hals-, Nasen-, Ohrenheilkunde, Kopf- und Halschirurgie, Plastische Gesichtschirurgie, Allergologie; Klinik für Innere Medizin 1 - Kardiologie, Angiologie, Nephrologie und internistische Intensivmedizin; Klinik für Innere Medizin 2 - Gastroenterologie und interventionelle Endoskopie, Diabetologie und Endokrinologie, Infektiologie, Allgemeine Innere Medizin; Klinik für Innere Medizin 3 - Hämatologie, Onkologie, Palliativmedizin; Klinik für Innere Medizin 5 (varisano LungenZentrum) - Pneumologie, Beatmungsmedizin-Weaning, Thoraxonkologie und Schlafmedizin; Klinik für Kinderchirurgie; Klinik für Kinder- und Jugendmedizin; Institut für Laboratoriumsmedizin - Klinische Chemie, Mikrobiologie, Transfusionsserologie; Medizinisches Zentrum für Erwachsene mit Behinderung; Klinik für Neurochirurgie; Klinik für Neurologie; Klinik für Orthopädie, Unfall- und Wiederherstellungschirurgie; Institut für Pathologie; Klinik für psychische Gesundheit; Tagesklinik für psychische Gesundheit; Klinik für Radiologie, Neuroradiologie und Nuklearmedizin; Sozialpädiatrisches Zentrum; Klinik für Urologie; Zentrale Notaufnahme",,AA33; AA32; AA57; AA14; AA23; AA22; AA47; AA43; AA10; AA08; AA38; AA01; AA18; AA50; AA15; AA69; AA70,https://www.varisano.de/klinikum-frankfurt-hoechst,https://www.varisano.de/klinikum-frankfurt-hoechst,https://www.varisano.de/ueber-uns/organisation
Krankenhaus Nordwest,260610097,,1,Steinbacher Hohl,2-26,60488,Frankfurt am Main,+4969-7601-1,info@sthhg.de,450,16974,0,36137,0,Stiftung Hospital zum Heiligen Geist,freigemeinnützig,Ja,"Goethe-Universität, Frankfurt am Main.",,nein,nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,11,"Klinik für Gefäßchirurgie; Klinik für Thoraxchirurgie; Klinik für Orthopädie, Unfall-, und Wirbelsäulenchirurgie; Klinik für Urologie; Medizinische Klinik; Klinik für Onkologie und Hämatologie; Radioonkologische Klinik; Neurologische Klinik; Zentralinstitut für Radiologie und Neuroradiologie; Klinik für Anästhesiologie, Operative Intensivmedizin und Schmerztherapie; Klinik für Allgemein-, Viszeral- und Tumorchirurgie",,AA01; AA08; AA10; AA43; AA14; AA15; AA18; AA21; AA22; AA23; AA57; AA33; AA69; AA70; AA38; AA71; AA50; AA09,http://www.krankenhaus-nordwest.de/,http://www.krankenhaus-nordwest.de/,http://www.krankenhaus-nordwest.de/zentren/
Sankt Katharinen-Krankenhaus GmbH,260610100,,1,Seckbacher Landstraße,65,60389,Frankfurt,+4969-46030,geschaeftsfuehrung@sankt-katharinen-ffm.de,234,11491,23,14368,0,Gesellschaft der Katharinenschwestern mbH,freigemeinnützig,Ja,"Goethe-Universität, Frankfurt",,nein,nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,9,"B-1 Innere Medizin I Kardiologie; B-2 Innere Medizin II Gastroenterologie und Infektionskrankheiten; B-3 Allg. Chirurgie, Viszeralchirurgie, Orthopädie und Unfallchirurgie; B-4 Neurochirurgie; B-5 Urologie; B-6 Neurologie; B-7 Geriatrie; B-8 Anästhesie; B-9 Radiologie",,AA33; AA14; AA08; AA43; AA22; AA21; AA71; AA57; AA01; AA15; AA70; AA10; AA69,http://www.sankt-katharinen-ffm.de,http://www.sankt-katharinen-ffm.de,
